beta_trust,avg_reward,init_resource,move_cost,dig_cost,gamma,reward_amount,avoid_base,label_value,env_factor,mine_choice_value,stay_leave_temp,move_temp,cost_sensitive_index,K,MU,SIGMA2,PI,label_to_type,baseline_mode,ewma_eta
0.0,1.3,200,10,5,0.1,1.0,True,"{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 1.0, 'neutral': 0.6, 'poor': 0.2}",0.7,0.7,0.1,3,"[0.2, 0.6, 0.9]",0.05,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","{'poor': 0, 'neutral': 1, 'rich': 2}",env,0.1
0.1,1.2,200,10,5,0.1,1.0,True,"{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 1.0, 'neutral': 0.6, 'poor': 0.2}",0.7,0.7,0.1,3,"[0.2, 0.6, 0.9]",0.05,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","{'poor': 0, 'neutral': 1, 'rich': 2}",env,0.1
0.2,1.2,200,10,5,0.1,1.0,True,"{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 1.0, 'neutral': 0.6, 'poor': 0.2}",0.7,0.7,0.1,3,"[0.2, 0.6, 0.9]",0.05,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","{'poor': 0, 'neutral': 1, 'rich': 2}",env,0.1
0.3,1.2,200,10,5,0.1,1.0,True,"{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 1.0, 'neutral': 0.6, 'poor': 0.2}",0.7,0.7,0.1,3,"[0.2, 0.6, 0.9]",0.05,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","{'poor': 0, 'neutral': 1, 'rich': 2}",env,0.1
0.4,1.2,200,10,5,0.1,1.0,True,"{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 1.0, 'neutral': 0.6, 'poor': 0.2}",0.7,0.7,0.1,3,"[0.2, 0.6, 0.9]",0.05,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","{'poor': 0, 'neutral': 1, 'rich': 2}",env,0.1
0.5,1.2,200,10,5,0.1,1.0,True,"{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 1.0, 'neutral': 0.6, 'poor': 0.2}",0.7,0.7,0.1,3,"[0.2, 0.6, 0.9]",0.05,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","{'poor': 0, 'neutral': 1, 'rich': 2}",env,0.1
0.6,1.5,200,10,5,0.1,1.0,True,"{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 1.0, 'neutral': 0.6, 'poor': 0.2}",0.7,0.7,0.1,3,"[0.2, 0.6, 0.9]",0.05,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","{'poor': 0, 'neutral': 1, 'rich': 2}",env,0.1
0.7,1.5,200,10,5,0.1,1.0,True,"{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 1.0, 'neutral': 0.6, 'poor': 0.2}",0.7,0.7,0.1,3,"[0.2, 0.6, 0.9]",0.05,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","{'poor': 0, 'neutral': 1, 'rich': 2}",env,0.1
0.8,1.5,200,10,5,0.1,1.0,True,"{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 1.0, 'neutral': 0.6, 'poor': 0.2}",0.7,0.7,0.1,3,"[0.2, 0.6, 0.9]",0.05,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","{'poor': 0, 'neutral': 1, 'rich': 2}",env,0.1
0.9,1.5,200,10,5,0.1,1.0,True,"{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 1.0, 'neutral': 0.6, 'poor': 0.2}",0.7,0.7,0.1,3,"[0.2, 0.6, 0.9]",0.05,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","{'poor': 0, 'neutral': 1, 'rich': 2}",env,0.1
1.0,1.4,200,10,5,0.1,1.0,True,"{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 0.8, 'neutral': 0.5, 'poor': 0.2}","{'rich': 1.0, 'neutral': 0.6, 'poor': 0.2}",0.7,0.7,0.1,3,"[0.2, 0.6, 0.9]",0.05,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","{'poor': 0, 'neutral': 1, 'rich': 2}",env,0.1
